[SETTINGS]
#cell_size(width)	cell_size(height)	num_col_cells	num_row_cells
150	100	20	20
# type :0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 4 = NoCollisionObjects, 5= RECT, 6=PIPE NORMAL, 7= koopas xanh_bay, 8= koopas ??_b?, 9= koopas ??_bay, 10=Coin NORMAL, 11=Goomba red bay, 12= Fire Bullet,13= FLOWER RED,14=Flower Bullet, 15=COIN CAN MOVE, 16=Leaf ,17=Mushroom Red,18=Question Brick Have Leaf, 19=Mushroom Green ,20=Question Brick Just Have Mushroom , 21= FLOWER GREEN , 22= FLOWER GREEN CAN SHOOT , 23= BREAKABLE BRICK , 24=BELL
#	25=HUD PANEL , 26=MARIO_LUIGI_HUD , 27=LIFE, 28= MONEY, 29=SCORE , 30=TIME_PICKER , 31= WORLD , 32=STACK NORMAL, 33=STACK MAX, 34=ITEM , 35= black black , 36=special item
#	37=PIPE DOWN , 38= PIPE UP , 39= SCORE AND 1VP ,40= WORDS END SCENE COURSE CLEAR , 41=WORDS END SCENE YOU GOT A CARD , 42=WORDS END SCENE ITEM
#	43= GACH BE ANIMATION TYPE LEFT TOP, 44= GACH BE ANIMATION TYPE RIGHT TOP, 45= GACH BE ANIMATION TYPE RIGHT BOTTOM, 46= GACH BE ANIMATION TYPE LEFT BOTTOM
#Obj_type	index_col	index_row	ani_set
[OBJECTS]
#SECTION 1
#Gach ham	0	265	
#BRICK	0	265	
1	1200	1431	404
1	1216	1431	404
1	1232	1431	404
1	1248	1431	404
1	1264	1431	404
1	1280	1431	404
1	1296	1431	404
1	1312	1431	404
1	1328	1431	404
1	1344	1431	404
1	1360	1431	404
1	1376	1431	404
1	1392	1431	404
1	1408	1431	404
1	1424	1431	404
1	1440	1431	404
1	1456	1431	404
1	1472	1431	404
1	1488	1431	404
1	1504	1431	404
1	1520	1431	404
1	1536	1431	404
1	1552	1431	404
1	1568	1431	404
1	1584	1431	404
1	1600	1431	404
1	1616	1431	404
1	1632	1431	404
1	1648	1431	404
1	1664	1431	404
1	1680	1431	404
1	1696	1431	404
#BRICK 2	0	265	
1	1200	1415	404
1	1216	1415	404
1	1232	1415	404
1	1248	1415	404
1	1264	1415	404
1	1280	1415	404
1	1296	1415	404
1	1312	1415	404
1	1328	1415	404
1	1344	1415	404
1	1360	1415	404
1	1376	1415	404
1	1392	1415	404
